ID,スキル名,スキル説明,発動条件（元データ）,発動条件,発動条件 (日本語訳),確定発動,持続時間補正値,基準持続時間(s),クールタイム補正値,基準クールタイム(s),査定値,種類,スキル対象,target_value_1_1,補正値,値（補正値の1/10000）,種類2,スキル対象2,target_value_1_2,補正値2,値（補正値2の1/10000）,種類3,スキル対象3,target_value_1_3,補正値3,値（補正値3の1/10000）
100371,Schwarze Schwert,最終直線まで冷静に自身の計画通り走行出来れば、先頭目がけて鋭い脚で速度を上げる,is_badstart==0&temptation_count==0&order>=3&is_finalcorner==1&corner==0,出遅れ==無し&掛かり==無し&順位>=3&最終コーナー==到達&コーナー==ではない,最終直線において、出遅れ0回かつ掛かり回数0回で、順位が3位以下[3～12位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
900371,Schwarze Schwert,最終直線まで冷静に自身の計画通り走行出来れば、先頭目がけて速度をわずかに上げる,is_badstart==0&temptation_count==0&order>=3&is_finalcorner==1&corner==0,出遅れ==無し&掛かり==無し&順位>=3&最終コーナー==到達&コーナー==ではない,最終直線において、出遅れ0回かつ掛かり回数0回で、順位が3位以下[3～12位],×,30000,3,5000000,500,180,目標速度アップ,自分,-,1500,"0,15",-,-,-,-,-,-,-,-,-,-
10071,波乱注意砲！,レース中間からロングスパートをかけて速度がわずかに上がる,distance_rate>=50&distance_rate<=60&order_rate>50,走行距離>=50%&走行距離<=60%&順位率>50%,走行距離50%～60%において、順位率50%より後ろ[7～12位],〇,60000,6,5000000,500,240,目標速度アップ,自分,-,1500,"0,15",-,-,-,-,-,-,-,-,-,-
10081,アクセルX,残り200mを切って前の方にいると競り合いに強くなり速度が少し上がる,order>=3&order_rate<=50&remain_distance<=200&bashin_diff_infront<=1@order>=3&order_rate<=50&remain_distance<=200&bashin_diff_behind<=1,順位>=3&順位率<=50%&残り距離<=200&前の馬との距離（馬身数）<=1または順位>=3&順位率<=50%&残り距離<=200&後ろの馬との距離（馬身数）<=1,残り距離が200m以下において、順位が3位以下かつ順位率50%以内[3～6位]で、前後の馬どちらかと1馬身以内,〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
10091,レッドエース,レース後半で1番をキープし続ける力をわずかに発揮する,distance_rate>=50&order==1&bashin_diff_behind<=1,走行距離>=50%&順位＝1&後ろの馬との距離（馬身数）<=1,走行距離が50%以上において、順位が1位の時に、後ろのウマと1馬身以内,〇,50000,5,5000000,500,240,目標速度アップ,自分,-,1500,"0,15",加速度アップ,自分,-,2000,"0,2",-,-,-,-,-
10111,精神一到,最終直線で後ろの方から追い抜くと末脚を使って速度が少し上がる,is_finalcorner==1&corner==0&change_order_onetime<0&order>=4,最終コーナー＝到達&直線である&変動順位<0&順位>=4,最終直線において、追い抜いた時に4位以下[4～11位],〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
10141,熱血☆アミーゴ,最終直線で余力を持って前にいるとわずかに優位を保ちやすくなる,is_finalcorner==1&corner==0&hp_per>=30&order<=2,最終コーナー＝到達&直線である&体力割合 >=30%&順位<=2,最終直線において、体力割合が30%以上かつ、順位が2位以内[1～2位],〇,50000,5,5000000,500,240,目標速度アップ,自分,-,1500,"0,15",加速度アップ,自分,-,2000,"0,2",-,-,-,-,-
10181,エンプレス・プライド,最終コーナーで後ろから追い抜くと女帝たる走りで速度が少し上がる,is_finalcorner==1&corner!=0&order>=4&change_order_onetime<0,最終コーナー＝到達&コーナーである&順位>=4&変動順位<0,最終コーナーにおいて、追い抜いた時に4位以下[4～11位],〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
10241,勝利のキッス☆,最終コーナーで前の方で競り合うと直線でわずかに抜け出しやすくなる,is_finalcorner==1&corner!=0&blocked_side_continuetime>=2&order<=3,最終コーナー＝到達&コーナーである&競り合った時間>=2&順位<=3,最終コーナーにおいて、競り合った時間が2秒以上かつ順位が3位以内[1～3位],〇,50000,5,5000000,500,240,目標速度アップ,自分,-,1500,"0,15",加速度アップ,自分,-,2000,"0,2",-,-,-,-,-
10271,燃えろ筋肉！,レース終盤のコーナーで前の位置につこうとして加速力が少し上がる,phase>=2&corner!=0&order_rate>=65&order_rate<=70,レース終盤&コーナーである&順位率>=65%&順位率<=70%,レース終盤以降のコーナーにおいて、順位率65%～70%[8位],〇,40000,4,5000000,500,240,加速度アップ,自分,-,3000,"0,3",-,-,-,-,-,-,-,-,-,-
10321,introduction：My body,レース後半のコーナーで控えていると持久力が少し回復する,distance_rate>=50&corner!=0&order>=3&order_rate<=40,走行距離>=50%&コーナーである&順位>=3&順位率<=40%,走行距離50%以上のコーナーにおいて、3位以下かつ順位率40%以内[3～5位],〇,0,瞬時発動,5000000,500,240,体力回復,自分,-,350,"0,035",-,-,-,-,-,-,-,-,-,-
10351,全力Vサインッ！,最終直線で競り合いに負けない気持ちが湧き、速度が少し上がる,is_finalcorner==1&corner==0&order<=5&blocked_side_continuetime>=2,最終コーナー＝到達&直線である&順位<=5&競り合った時間>=2,最終直線において、順位が5位以内[1～5位]かつ、競り合った時間が2秒以上,〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
10411,学級委員長+速さ＝バクシン,レース後半に前の方で競り合うとバクシン力（？）を発揮、速度が少し上がる,distance_rate>=50&order<=3&blocked_side_continuetime>=2,走行距離>=50%&順位<=3&競り合った時間>=2,走行距離が50%以上において、順位が3位以内[1～3位]かつ、競り合った時間が2秒以上,〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
10451,クリアハート,レース中盤で好位置にいる時に持久力が少し回復する,phase_random==1&order>=2&order_rate<=40,レース中盤(ランダム判定？)&順位>=2&順位率<=40%,レース中盤のランダムな区間内で、順位が2位以下かつ順位率40%以内[2～5位],〇,0,瞬時発動,5000000,500,240,体力回復,自分,-,350,"0,035",-,-,-,-,-,-,-,-,-,-
